intent,text,response_template
route_inquiry,Beylikdüzü ile Kartal arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beşiktaşden Maltepeye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bostancı Taksim güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bostancı ile Beşiktaş arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beşiktaş Levent arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kartal Maslak güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Mecidiyeköy Fatih güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bosphorus köprüsü rotası,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
best_departure_time,ne zaman yola çıkmalı,En iyi çıkış zamanını hesaplayabilirim.
route_inquiry,Bostancıden Bakırköyye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Mecidiyeköy çıkışı Şişli yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beşiktaş Beylikdüzü güzergahı,Size en uygun rotayı hesaplayabilirim.
help,özelliklerin neler,"Trafik tahmini, rota planlama, anlık durum kontrolü yapabilirim."
route_inquiry,Beylikdüzü Üsküdar güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kartalden Mecidiyeköyye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
greeting,selam canım,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
travel_time,Anadolu yakasından Avrupa yakasına kaç dakika,Süre hesaplaması için rotanızı belirtir misiniz?
route_inquiry,Bostancı ile Levent arasında rota,Size en uygun rotayı hesaplayabilirim.
greeting,selam nasılsın,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Levent Maltepe güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdar Maslak güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Taksimden İtüye nasıl,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
route_inquiry,Kartalden Eminönüye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_status,Levent yoğunluğu,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
greeting,iyi günler arkadaş,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Taksim Bostancı arası yol,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,perşembe günü gece geç trafik,Trafik tahmini için lokasyon belirtir misiniz?
travel_time,metro süresi,Süre hesaplaması için rotanızı belirtir misiniz?
route_inquiry,Fatih ile Eminönü arasında rota,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,salı gece geç yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Fatih Maltepe arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Mecidiyeköy ile Üsküdar arasında rota,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta içi mesai saati yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Fatihden Beşiktaşye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,perşembe öğle trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_status,Şişli trafiği,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
parking_info,park edebileceğim yer,Park yeri bilgisi için lokasyon belirtir misiniz?
greeting,hello,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
traffic_prediction,pazartesi sabah erken trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maslak ile Kadıköy arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kadıköy Mecidiyeköy güzergahı,Size en uygun rotayı hesaplayabilirim.
fuel_info,akaryakıt istasyonu,Yakıt istasyonu bilgisi için bölge belirtir misiniz?
route_inquiry,Şişliden Leventye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
greeting,hey merhaba,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
traffic_prediction,cumartesi günü sabah erken trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,çarşamba sabah yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kadıköyden Beşiktaşye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,maç günü trafik durumu,Trafik tahmini için tarih ve saati belirtir misiniz?
route_inquiry,Mecidiyeköy Taksim güzergahı,Size en uygun rotayı hesaplayabilirim.
fuel_info,total istasyon,Yakıt istasyonu bilgisi için bölge belirtir misiniz?
greeting,hi there,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Üsküdar çıkışı Fatih yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Taksim Şişli güzergahı,Size en uygun rotayı hesaplayabilirim.
greeting,merhaba bot,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Bakırköy çıkışı Fatih yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kartal Maslak arası yol,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba sabah durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta sonu sabah yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,pazar gece geç trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cuma gece geç trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,çarşamba sabah erken yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bostancı Beşiktaş güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cuma sabah trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Mecidiyeköyden Taksimye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beşiktaş ile Fatih arasında rota,Size en uygun rotayı hesaplayabilirim.
weather_traffic,rüzgarlı hava,Hava durumunun trafik etkisini analiz edebilirim.
traffic_status,Şişli trafiği,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
traffic_prediction,salı günü mesai saati trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kadıköy Maltepe güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,pazartesi günü gece trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,perşembe mesai saati durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cuma sabah durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Üsküdarden Şişliye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Fatih çıkışı Maltepe yolu,Size en uygun rotayı hesaplayabilirim.
traffic_status,FSM köprüsü trafiği,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
route_inquiry,Fatihden Eminönüye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdarden Bostancıye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maslak Eminönü güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_status,E5 üzerinde durum,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
traffic_prediction,perşembe günü akşam üstü trafik,Trafik tahmini için lokasyon belirtir misiniz?
greeting,hi there,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
traffic_prediction,cuma akşam üstü trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Şişli ile Beşiktaş arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kadıköyden Beylikdüzüye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kadıköy Beylikdüzü güzergahı,Size en uygun rotayı hesaplayabilirim.
goodbye,sonra konuşuruz,Güvenli yolculuklar dilerim!
goodbye,allaha ısmarladık,Güvenli yolculuklar dilerim!
parking_info,valet park,Park yeri bilgisi için lokasyon belirtir misiniz?
route_inquiry,Bakırköy ile Maltepe arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maltepe Bakırköy arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maslak ile Kartal arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maltepe ile Kartal arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdar ile Kartal arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beşiktaş ile Fatih arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beşiktaşden Taksimye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beylikdüzü Taksim güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cuma mesai saati durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,çarşamba öğle yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Üsküdar ile Mecidiyeköy arasında rota,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba günü mesai saati trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Taksimden Bakırköyye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,perşembe günü mesai saati trafik,Trafik tahmini için lokasyon belirtir misiniz?
weather_traffic,buzlanma tehlikesi,Hava durumunun trafik etkisini analiz edebilirim.
route_inquiry,Levent Beşiktaş arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Fatih ile Maslak arasında rota,Size en uygun rotayı hesaplayabilirim.
traffic_status,Levent yoğunluğu,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
route_inquiry,Beylikdüzü çıkışı Üsküdar yolu,Size en uygun rotayı hesaplayabilirim.
thanks,süpersin,Teşekkürler! Güvenli yolculuklar.
route_inquiry,Taksim ile Bostancı arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Taksimden İtüye nasıl,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
route_inquiry,Şişli Beylikdüzü güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,salı öğle trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Mecidiyeköy ile Kartal arasında rota,Size en uygun rotayı hesaplayabilirim.
fuel_info,opet lokasyonu,Yakıt istasyonu bilgisi için bölge belirtir misiniz?
greeting,hey trafik asistanı,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
traffic_prediction,hafta sonu sabah durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cuma günü gece trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Beşiktaş Maslak arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Mecidiyeköy ile Üsküdar arasında rota,Size en uygun rotayı hesaplayabilirim.
goodbye,dikkatli ol,Güvenli yolculuklar dilerim!
route_inquiry,Mecidiyeköy ile Maslak arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Mecidiyeköy ile Kadıköy arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Mecidiyeköyden Beylikdüzüye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cuma günü akşam trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Beylikdüzü Maslak güzergahı,Size en uygun rotayı hesaplayabilirim.
best_departure_time,en uygun çıkış,En iyi çıkış zamanını hesaplayabilirim.
traffic_prediction,perşembe sabah trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta sonu gece trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bakırköyden Taksimye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Eminönü Kartal güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,salı gece geç yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta içi günü gece trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bakırköy Maslak güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kadıköyden Bakırköyye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta sonu gece geç durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Eminönü çıkışı Maltepe yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beşiktaş Beylikdüzü arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beşiktaş ile Levent arasında rota,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta içi mesai saati durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,pazartesi gece geç durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bostancı Taksim güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Levent çıkışı Üsküdar yolu,Size en uygun rotayı hesaplayabilirim.
weather_traffic,yağmurda trafik,Hava durumunun trafik etkisini analiz edebilirim.
traffic_prediction,cumartesi günü gece trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,yağmurlu günde trafik,Trafik tahmini için tarih ve saati belirtir misiniz?
route_inquiry,Beşiktaş Taksim güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kadıköyden Bostancıye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
alternative_route,başka yol önerisi,Alternatif rota seçeneklerini gösterebilirim.
traffic_prediction,perşembe günü öğle trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cumartesi mesai saati yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,çarşamba akşam üstü trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,pazartesi sabah yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
parking_info,park yeri nerede,Park yeri bilgisi için lokasyon belirtir misiniz?
route_inquiry,Bostancı Bakırköy arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beylikdüzü çıkışı Bakırköy yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cumartesi akşam trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,perşembe günü mesai saati trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maslak Beylikdüzü arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdarden Kartalye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,perşembe akşamı trafik,Trafik tahmini için tarih ve saati belirtir misiniz?
greeting,günaydın,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Fatih çıkışı Maslak yolu,Size en uygun rotayı hesaplayabilirim.
alternative_route,yan yollar,Alternatif rota seçeneklerini gösterebilirim.
fuel_info,opet lokasyonu,Yakıt istasyonu bilgisi için bölge belirtir misiniz?
traffic_prediction,hafta içi günü akşam üstü trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bostancıden Leventye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Levent Maltepe güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta sonu mesai saati yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cumartesi akşam üstü durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,perşembe gece yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Taksim çıkışı Maslak yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beylikdüzü ile Üsküdar arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Şişli Maltepe güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cumartesi akşam yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Beşiktaş Levent güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_status,kennedy caddesi trafik,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
traffic_prediction,pazartesi günü mesai saati trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cumartesi sabah erken durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maslak ile Mecidiyeköy arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Levent Mecidiyeköy güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cumartesi sabah durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Eminönü ile Kadıköy arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beşiktaş çıkışı Bostancı yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cumartesi günü mesai saati trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Mecidiyeköy çıkışı Şişli yolu,Size en uygun rotayı hesaplayabilirim.
traffic_status,Boğaz köprüsü durumu,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
traffic_status,FSM köprüsü trafiği,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
traffic_prediction,cumartesi günü akşam trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Fatih Kartal arası yol,Size en uygun rotayı hesaplayabilirim.
goodbye,sonra konuşuruz,Güvenli yolculuklar dilerim!
route_inquiry,Beylikdüzüden Bakırköyye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bostancıden Eminönüye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
parking_info,ücretsiz park,Park yeri bilgisi için lokasyon belirtir misiniz?
traffic_prediction,pazartesi sabah erken durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
fuel_info,BP,BP benzin istasyonları hangi lokasyonlarda?
route_inquiry,Bostancı Kadıköy arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Levent Maltepe arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Levent Bakırköy arası yol,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,konser sonrası trafik,Trafik tahmini için tarih ve saati belirtir misiniz?
traffic_prediction,pazar sabah yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bostancı çıkışı Taksim yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maslak çıkışı Mecidiyeköy yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maslak Şişli güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maltepe Eminönü güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Levent ile Maltepe arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maslak Mecidiyeköy güzergahı,Size en uygun rotayı hesaplayabilirim.
help,yardım et,Size nasıl yardımcı olabilirim?
traffic_prediction,hafta sonu gece durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Avrupa yakasından Anadolu yakasına,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
traffic_prediction,cumartesi sabah durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Levent Üsküdar arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Fatihden Leventye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
unclear,anlamıyorum,Hangi konuda yardım istiyorsunuz?
traffic_prediction,perşembe sabah erken trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
travel_time,köprü geçiş süresi,Süre hesaplaması için rotanızı belirtir misiniz?
help,Kullanım,"Bana doğal dilde sorular sormanız yeterli. Örnek: ""Yarın sabah trafik nasıl?"""
traffic_prediction,hafta içi sabah trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bostancı Beşiktaş arası yol,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta içi mesai saati durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,çarşamba akşam üstü yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
best_departure_time,optimal saat,En iyi çıkış zamanını hesaplayabilirim.
traffic_prediction,pazar sabah trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kadıköy Beylikdüzü güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Eminönü Üsküdar arası yol,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba gece geç durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cuma gece geç yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cumartesi akşam üstü yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,şehir içi rota,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
traffic_prediction,pazartesi sabah erken trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
alternative_route,başka yol önerisi,Alternatif rota seçeneklerini gösterebilirim.
route_inquiry,Levent ile Kartal arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bakırköy çıkışı Maltepe yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cuma sabah trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maltepe çıkışı Kartal yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beşiktaş Taksim arası yol,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,pazar günü gece geç trafik,Trafik tahmini için lokasyon belirtir misiniz?
unclear,ne diyorsun,Sorunuzu daha açık belirtir misiniz?
route_inquiry,Leventden Beşiktaşye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cuma öğle yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kadıköyden Bostancıye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kartal çıkışı Beşiktaş yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Şişli Üsküdar güzergahı,Size en uygun rotayı hesaplayabilirim.
goodbye,elveda arkadaşım,Güvenli yolculuklar dilerim!
traffic_status,Kadıköy trafiği,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
route_inquiry,Şişli çıkışı Fatih yolu,Size en uygun rotayı hesaplayabilirim.
